FoodItem,Category,Calories,Protein(g),Carbs(g),Fats(g),DietType,Recipe,BaseWeight(g)
Honey Glazed Tofu Scramble,Breakfast,216.0,14.0,7.2,11.0,Vegetarian,1. Cube the Honey Glazed Tofu Scramble. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,80
Buttermilk Salmon Fillet,Dinner,560.0,37.4,0.0,42.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Buttermilk Salmon Fillet to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,198
Garlic Scrambled Eggs,Breakfast,154.0,12.6,1.2,11.0,Non-Vegetarian,1. Prepare the Garlic Scrambled Eggs base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,62
Smoked Fruit Smoothie,Breakfast,198.0,2.2,45.0,1.2,Vegetarian,1. Prepare the Smoked Fruit Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,121
Spicy Turkey Wrap,Lunch,367.5,25.0,38.5,12.6,Non-Vegetarian,1. Gather your Spicy Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,190
Loaded Chicken Shawarma,Lunch,720.0,39.0,60.0,32.4,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Loaded Chicken Shawarma to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,328
Honey Glazed Steak and Rice,Dinner,810.0,40.0,81.0,27.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Honey Glazed Steak and Rice to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,371
Honey Glazed Greek Yogurt,Breakfast,135.0,10.0,7.2,0.0,Vegetarian,1. Prepare the Honey Glazed Greek Yogurt base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,43
Spicy Protein Bar,Snack,210.0,20.0,24.2,6.3,Vegetarian,1. Simply portion out your Spicy Protein Bar. 2. Store the rest in an airtight container for lasting freshness.,126
Cajun Rice Cakes,Snack,92.0,2.0,17.6,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Cajun Rice Cakes. 3. Simmer covered for 15-20 mins until fluffy.,49
Herb-Roasted Lentil Soup,Dinner,207.0,10.5,31.5,2.4,Vegetarian,1. Gather your Herb-Roasted Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,111
Sweet & Sour Lentil Soup,Dinner,234.0,10.0,51.0,2.0,Vegetarian,1. Gather your Sweet & Sour Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,158
Extra Lean Paneer Tikka,Dinner,280.0,21.6,12.0,12.5,Vegetarian,1. Cube the Extra Lean Paneer Tikka. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,115
Sweet & Sour Steak and Rice,Dinner,780.0,40.0,76.5,25.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Sweet & Sour Steak and Rice to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,354
Tofu Scramble,Breakfast,160.0,14.0,4.0,10.0,Vegetarian,1. Cube the Tofu Scramble. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,50
Smoked Chickpea Curry,Dinner,330.0,13.2,40.0,12.0,Vegetarian,1. Gather your Smoked Chickpea Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,163
Teriyaki Pancakes,Breakfast,312.5,6.3,56.0,10.0,Vegetarian,1. Prepare the Teriyaki Pancakes base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,181
Extra Lean Pork Chop & Mash,Dinner,440.0,42.0,40.0,12.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Extra Lean Pork Chop & Mash to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,236
Herb-Roasted White Rice,Lunch,235.7,4.2,46.2,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Herb-Roasted White Rice. 3. Simmer covered for 15-20 mins until fluffy.,126
Herb-Roasted Beef Stir Fry,Dinner,552.0,33.6,36.8,24.0,Non-Vegetarian,1. Gather your Herb-Roasted Beef Stir Fry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,236
Smoked Protein Smoothie,Breakfast,220.0,27.5,15.0,3.6,Vegetarian,1. Prepare the Smoked Protein Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,115
Chipotle Chia Seed Pudding,Breakfast,228.0,8.4,22.0,13.0,Vegetarian,1. Prepare the Chipotle Chia Seed Pudding base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,108
Chipotle Caesar Salad,Lunch,360.0,10.5,16.5,28.6,Vegetarian,1. Gather your Chipotle Caesar Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,139
Chipotle Oatmeal,Breakfast,180.0,5.2,29.7,3.9,Vegetarian,1. Prepare the Chipotle Oatmeal base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,97
Cajun Boiled Eggs,Snack,161.0,12.0,1.1,11.5,Non-Vegetarian,1. Simply portion out your Cajun Boiled Eggs. 2. Store the rest in an airtight container for lasting freshness.,62
Herb-Roasted Boiled Eggs,Snack,161.0,12.6,1.1,12.0,Non-Vegetarian,1. Simply portion out your Herb-Roasted Boiled Eggs. 2. Store the rest in an airtight container for lasting freshness.,64
Sweet & Sour Salmon Fillet,Dinner,520.0,34.0,0.0,28.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Sweet & Sour Salmon Fillet to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,155
Sweet & Sour Sweet Potato,Dinner,143.0,2.0,44.2,0.0,Vegetarian,1. Gather your Sweet & Sour Sweet Potato ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,116
Cajun Lentil Soup,Dinner,207.0,10.0,33.0,2.3,Vegetarian,1. Gather your Cajun Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,113
Cheesy Chicken Breast,Lunch,231.0,37.2,0.0,4.8,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Cheesy Chicken Breast to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,105
Keto Turkey Wrap,Lunch,315.0,27.5,7.0,21.6,Non-Vegetarian,1. Gather your Keto Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,140
Garlic Quinoa,Lunch,242.0,8.4,46.8,3.3,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Garlic Quinoa. 3. Simmer covered for 15-20 mins until fluffy.,146
Smoked Mixed Dal,Lunch,242.0,15.4,35.0,4.8,Vegetarian,1. Gather your Smoked Mixed Dal ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,138
Buttermilk Greek Yogurt,Breakfast,140.0,11.0,4.8,0.0,Vegetarian,1. Prepare the Buttermilk Greek Yogurt base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,40
Buttermilk Protein Bar,Snack,280.0,22.0,26.4,9.0,Vegetarian,1. Simply portion out your Buttermilk Protein Bar. 2. Store the rest in an airtight container for lasting freshness.,144
Spicy Caesar Salad,Lunch,315.0,10.0,16.5,23.1,Vegetarian,1. Gather your Spicy Caesar Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,124
Smoked Chicken Breast,Lunch,181.5,34.1,0.0,3.6,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Smoked Chicken Breast to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,94
BBQ Apple,Snack,123.5,0.5,37.5,0.3,Vegetarian,1. Simply portion out your BBQ Apple. 2. Store the rest in an airtight container for lasting freshness.,96
Chipotle Greek Yogurt,Breakfast,120.0,10.5,4.4,0.0,Vegetarian,1. Prepare the Chipotle Greek Yogurt base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,37
Greek Yogurt,Breakfast,100.0,10.0,4.0,0.0,Vegetarian,1. Prepare the Greek Yogurt base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,25
Sweet & Sour Greek Yogurt,Breakfast,130.0,10.0,6.8,0.0,Vegetarian,1. Prepare the Sweet & Sour Greek Yogurt base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,42
Garlic Quinoa Bowl,Lunch,352.0,14.7,54.0,11.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Garlic Quinoa Bowl. 3. Simmer covered for 15-20 mins until fluffy.,199
Buttermilk Boiled Eggs,Snack,196.0,13.2,1.2,15.0,Non-Vegetarian,1. Simply portion out your Buttermilk Boiled Eggs. 2. Store the rest in an airtight container for lasting freshness.,74
Chipotle Edamame,Snack,144.0,11.6,11.0,6.5,Vegetarian,1. Simply portion out your Chipotle Edamame. 2. Store the rest in an airtight container for lasting freshness.,73
Cajun Mixed Dal,Lunch,253.0,14.0,38.5,4.6,Vegetarian,1. Gather your Cajun Mixed Dal ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,143
Sweet & Sour Pancakes,Breakfast,325.0,6.0,59.5,10.0,Vegetarian,1. Prepare the Sweet & Sour Pancakes base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,189
Loaded Hummus & Carrots,Snack,240.0,6.5,27.0,14.4,Vegetarian,1. Simply portion out your Loaded Hummus & Carrots. 2. Store the rest in an airtight container for lasting freshness.,120
Sweet & Sour Chickpea Curry,Dinner,390.0,12.0,68.0,10.0,Vegetarian,1. Gather your Sweet & Sour Chickpea Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,225
Extra Lean Greek Yogurt,Breakfast,80.0,12.0,4.0,0.0,Vegetarian,1. Prepare the Extra Lean Greek Yogurt base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,40
Chipotle Turkey Wrap,Lunch,420.0,26.2,38.5,15.6,Non-Vegetarian,1. Gather your Chipotle Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,201
Tuna Sandwich,Lunch,400.0,28.0,35.0,15.0,Non-Vegetarian,1. Gather your Tuna Sandwich ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,195
Herb-Roasted Greek Yogurt,Breakfast,115.0,10.5,4.2,0.0,Vegetarian,1. Prepare the Herb-Roasted Greek Yogurt base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,37
Cajun Greek Yogurt,Breakfast,115.0,10.0,4.4,0.0,Vegetarian,1. Prepare the Cajun Greek Yogurt base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,36
Oatmeal,Breakfast,150.0,5.0,27.0,3.0,Vegetarian,1. Prepare the Oatmeal base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,63
Salmon Fillet,Dinner,400.0,34.0,0.0,28.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Salmon Fillet to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,155
Sweet & Sour Paneer Tikka,Dinner,455.0,18.0,20.4,25.0,Vegetarian,1. Cube the Sweet & Sour Paneer Tikka. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,158
Tofu,Lunch,140.0,15.0,2.0,8.0,Vegetarian,1. Cube the Tofu. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,62
Sweet & Sour Banana,Snack,136.5,1.0,45.9,0.0,Vegetarian,1. Simply portion out your Sweet & Sour Banana. 2. Store the rest in an airtight container for lasting freshness.,117
Herb-Roasted Edamame,Snack,138.0,11.6,10.5,6.0,Vegetarian,1. Simply portion out your Herb-Roasted Edamame. 2. Store the rest in an airtight container for lasting freshness.,70
Keto Avocado Toast,Breakfast,225.0,6.6,4.8,27.0,Vegetarian,1. Prepare the Keto Avocado Toast base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,96
Spicy Scrambled Eggs,Breakfast,147.0,12.0,1.1,10.5,Non-Vegetarian,1. Prepare the Spicy Scrambled Eggs base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,59
Spicy Tuna Salad,Lunch,315.0,28.0,11.0,15.8,Non-Vegetarian,1. Gather your Spicy Tuna Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,137
Cajun Tofu Scramble,Breakfast,184.0,14.0,4.4,11.5,Vegetarian,1. Cube the Cajun Tofu Scramble. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,75
Sweet Potato,Dinner,110.0,2.0,26.0,0.0,Vegetarian,1. Gather your Sweet Potato ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,70
Sweet & Sour Caesar Salad,Lunch,390.0,10.0,25.5,22.0,Vegetarian,1. Gather your Sweet & Sour Caesar Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,144
Buttermilk Tofu Scramble,Breakfast,224.0,15.4,4.8,15.0,Vegetarian,1. Cube the Buttermilk Tofu Scramble. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,88
Buttermilk Fruit Smoothie,Breakfast,252.0,2.2,54.0,1.5,Vegetarian,1. Prepare the Buttermilk Fruit Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,144
BBQ Protein Waffle,Breakfast,286.0,15.0,30.0,8.8,Vegetarian,1. Prepare the BBQ Protein Waffle base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,134
Turkey Wrap,Lunch,350.0,25.0,30.0,12.0,Non-Vegetarian,1. Gather your Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,168
BBQ Cottage Cheese,Snack,156.0,14.0,7.5,4.4,Vegetarian,1. Simply portion out your BBQ Cottage Cheese. 2. Store the rest in an airtight container for lasting freshness.,65
Cottage Cheese,Snack,120.0,14.0,5.0,4.0,Vegetarian,1. Simply portion out your Cottage Cheese. 2. Store the rest in an airtight container for lasting freshness.,41
Teriyaki Scrambled Egg Whites,Breakfast,150.0,23.1,3.2,0.0,Non-Vegetarian,1. Prepare the Teriyaki Scrambled Egg Whites base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,66
Honey Glazed Protein Bar,Snack,270.0,20.0,39.6,6.6,Vegetarian,1. Simply portion out your Honey Glazed Protein Bar. 2. Store the rest in an airtight container for lasting freshness.,166
Herb-Roasted Tuna Sandwich,Lunch,460.0,29.4,36.8,18.0,Non-Vegetarian,1. Gather your Herb-Roasted Tuna Sandwich ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,210
Herb-Roasted Turkey Wrap,Lunch,402.5,26.2,36.8,14.4,Non-Vegetarian,1. Gather your Herb-Roasted Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,194
Extra Lean Chickpea Curry,Dinner,240.0,14.4,40.0,5.0,Vegetarian,1. Gather your Extra Lean Chickpea Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,148
BBQ Paneer Tikka,Dinner,455.0,18.0,18.0,27.5,Vegetarian,1. Cube the BBQ Paneer Tikka. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,159
Keto Tofu Scramble,Breakfast,144.0,15.4,0.8,18.0,Vegetarian,1. Cube the Keto Tofu Scramble. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,86
Loaded Vegetable Curry,Dinner,480.0,10.4,45.0,27.0,Vegetarian,1. Gather your Loaded Vegetable Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,206
Smoked Almonds,Snack,176.0,6.6,6.0,16.8,Vegetarian,1. Simply portion out your Smoked Almonds. 2. Store the rest in an airtight container for lasting freshness.,74
Loaded Greek Yogurt,Breakfast,160.0,13.0,6.0,0.0,Vegetarian,1. Prepare the Loaded Greek Yogurt base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,48
BBQ Tuna Sandwich,Lunch,520.0,28.0,52.5,16.5,Non-Vegetarian,1. Gather your BBQ Tuna Sandwich ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,242
Teriyaki Pork Chop & Mash,Dinner,687.5,36.8,64.0,25.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Teriyaki Pork Chop & Mash to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,314
Lemon Pepper Steak and Rice,Dinner,612.0,42.0,45.0,25.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Lemon Pepper Steak and Rice to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,280
Garlic Sweet Potato,Dinner,121.0,2.1,31.2,0.0,Vegetarian,1. Gather your Garlic Sweet Potato ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,83
Sweet & Sour Shrimp Pasta,Dinner,624.0,30.0,93.5,12.0,Non-Vegetarian,1. Gather your Sweet & Sour Shrimp Pasta ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,339
Loaded Shrimp Pasta,Dinner,768.0,39.0,82.5,21.6,Non-Vegetarian,1. Gather your Loaded Shrimp Pasta ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,358
Extra Lean Quinoa,Lunch,176.0,9.6,39.0,1.5,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Extra Lean Quinoa. 3. Simmer covered for 15-20 mins until fluffy.,125
Loaded Steak and Rice,Dinner,960.0,52.0,67.5,45.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Loaded Steak and Rice to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,411
Extra Lean Sweet Potato,Dinner,88.0,2.4,26.0,0.0,Vegetarian,1. Gather your Extra Lean Sweet Potato ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,71
Teriyaki Peanut Butter Toast,Snack,275.0,8.4,32.0,12.0,Vegetarian,1. Simply portion out your Teriyaki Peanut Butter Toast. 2. Store the rest in an airtight container for lasting freshness.,131
Buttermilk Chicken Shawarma,Lunch,630.0,33.0,48.0,27.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Buttermilk Chicken Shawarma to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,270
Lemon Pepper Tuna Salad,Lunch,306.0,29.4,10.0,15.0,Non-Vegetarian,1. Gather your Lemon Pepper Tuna Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,136
Lemon Pepper Edamame,Snack,122.4,11.6,10.0,5.0,Vegetarian,1. Simply portion out your Lemon Pepper Edamame. 2. Store the rest in an airtight container for lasting freshness.,66
Extra Lean Caesar Salad,Lunch,240.0,12.0,15.0,11.0,Vegetarian,1. Gather your Extra Lean Caesar Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,95
BBQ Scrambled Egg Whites,Breakfast,156.0,22.0,3.0,0.0,Non-Vegetarian,1. Prepare the BBQ Scrambled Egg Whites base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,62
Extra Lean Brown Rice,Lunch,172.0,6.0,45.0,0.5,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Extra Lean Brown Rice. 3. Simmer covered for 15-20 mins until fluffy.,129
Keto Steak and Rice,Dinner,540.0,44.0,9.0,45.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Keto Steak and Rice to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,245
Garlic Edamame,Snack,132.0,11.6,12.0,5.5,Vegetarian,1. Simply portion out your Garlic Edamame. 2. Store the rest in an airtight container for lasting freshness.,73
